"codigoSector";"descripcionSector";"codigoEntidad";"nombreEntidad";"periodo";"C110";"C120";"C130";"C139";"C140";"C150";"C160";"C170";"C180";"C210";"C220";"C230";"C240";"C250";"C260";"C310";"C330";"C190";"C320";"C290";"C340";"C350";"C360";"C380"
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-01-01;542790875461,4;603916037211,05;2482698128121,37;-35988147435,67;2661776087,08;13438096597,64;81364023043,92;81375782339,07;86772491363,06;2650605895039,79;0;698063407185,78;95522839077,59;40129306880,1;21379934704,76;121762273318,18;30563242125,34;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-02-01;552958119256,66;554604337582,08;2466799106864,55;-37068729368,29;2144141487,82;12871827379,02;81934615334,82;81484769742,08;43048665599,64;2512820899291,22;72723223611,12;681211291631,04;97859596052,88;19343343729,36;21379263208,18;121762273318,18;30135586502,98;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-03-01;573223814179,16;503120926025,44;2479128823662,9;-38009107563,06;2594709322,38;13037034451,78;82085824001,52;81756988821,16;37471925078,13;2544944533810,32;12001833333,33;678743913412,45;87436496792,62;34775924630,14;21147214777,03;121762273318,18;30141316154,97;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-04-01;532217022677,07;534414292163,7;2475442191521,49;-38374597176,86;3597435807,67;12941779884,73;83480265590,46;81722047499,05;42123965525,73;2581132086819,36;6000833333,33;650338943722,56;89989444239,32;20695377528,24;21196515521,64;121762273318,18;31028903623,67;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-05-01;528172139433,83;566890529876,78;2481101951474,26;-39558565022,44;3257643780,69;12933283882,03;85437742114,41;81803578176,01;47972814520,71;2613736643103,09;0;657358371520,52;93519559032,4;21204708460,59;21453654604,83;121762273318,18;32074823735;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-06-01;576535041241,48;641592549830,5;2475988839938,74;-42220878478,56;1988798502,27;13086832425,8;86322554902,53;83019100653,79;38137619975,72;2704738808274,28;0;678297954303,16;93797962607,17;21116128699,01;21198235274,07;121762273318,18;32334546366,05;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-07-01;536980236387,79;666887528878,19;2497226025650,68;-42286978204,35;2126419173,15;12975095896,21;87717118735,01;83330022162,64;41982198368,71;2724350249120,58;0;660758535088,09;98803796885,89;23308691516,93;21283513590,17;121762273318,18;32846366830,26;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-08-01;543101776875,46;623210429589,23;2504238781012,77;-42420494872,09;2258321990,96;13797183644,53;88623815138,53;81773939146,2;41759130028,46;2679195168844,52;6531541333,58;665176249708,7;100294648313,71;23526987951,21;21405103194,12;121762273318,18;32473743061,17;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-09-01;535278236963,26;630178052752,87;2513535530859,02;-42587103751,13;2876124357,83;13197375179,29;88952604164,43;82246975504,45;40321352283,93;2664486589525,64;0;694715791370,99;101784719200,32;22206234246,8;21195223750,82;121762273318,18;31494065639,02;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-10-01;569995817267,76;679590024364,97;2530470444929,68;-42506985496,48;2853320221,38;13705402767,12;91198653714,74;81875626405,47;44480950783,11;2691611992837,92;33005958333,34;733065832768,98;105293128401,67;22144697561,23;21268348845,52;121762273318,18;34746017102,06;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-11-01;616351777025,07;626927128845,78;2535275364020,42;-43879805378,99;5064723013,25;13756798880,71;91261303935,7;94008496687,78;47132389011,86;2750862282992,62;1355122326,39;703811010637,53;106837199920,27;25742647005,88;21283484536,06;121762273318,18;44222157640,27;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-12-01;567672874211,05;686343098074,02;2565216935135,45;-40921697294,71;2702063157,13;13333753739,18;92985686725,67;94375078892,8;45475356509,35;2794533970348,78;0;696331263044,12;99491267470,64;27122814909,51;21333363717,02;144950948838,25;45540226934,41;0;0;0;189527978317,58;7410295429,22;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-01-01;609446311566,06;670753093760,35;2566720164727,65;-42617748459,28;3639460882,32;13467535718,44;93592242087,45;93718145398,15;44859243394,38;2782997988915,92;0;730968336055,55;96680260056,48;31604310918,86;21432229775,63;144950948838,25;44399417505,66;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-02-01;585838878603,33;691555245444,6;2558018094730,92;-42577070064,54;4006290668,33;13225010198,26;92184998010,41;93406586712,01;53859499769,84;2778472755265,1;33002520833,33;690807812723,46;99742907617,77;32071593628,69;21438298989,92;144950948838,25;44159611148,24;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-03-01;591089936933,15;753961298051,06;2574547843319,83;-44004808842,78;3052920671,93;12900722232,78;93444971278,47;92973566067,07;39322424594,82;2872252486695,76;13000993055,56;699413971870,98;88626437111,23;25546501587,95;21239422117,12;144950948838,25;44714629712,64;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-04-01;581589067605,59;800723324821,29;2552517012512,51;-42645442242,91;3623416575,19;12941166519,64;93560887151,38;92454443868,22;39147094127,31;2867393855944,39;40505343055,56;680615171789,21;99393267835,38;21879298684,34;21414485428,61;144950948838,25;44834706561,54;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-05-01;595607573404,8;845851954049,22;2571140857828,41;-43453528294,7;5373418581,62;12963281414,35;92878017555,99;92430135920,56;38934650553,33;2971853773276,74;16001222222,22;672091042138,47;97442669468,06;27407368164,36;21547411460,73;144950948838,25;44078010675,29;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-06-01;680224137527,56;843950818040,74;2597704035744,55;-44746193521,55;3157636784,19;13947451190,82;93852418448,72;92221185379,79;45947501154,7;3034803686304,5;38002902777,78;701324203898,32;96878012697,83;24264261691,82;21720536870,68;144950948838,25;45228452660,9;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-07-01;655028316944,15;992742810426,34;2576425508291,75;-45300570001,01;3691102133,58;13663589343,47;94946096201,36;92085634721,14;41486222967,1;3186196800786,37;3000687500,01;672213943865,96;98651131762,54;29793325873,44;21889924153,81;144950948838,25;45256869309,97;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-08-01;641994922147,09;980481729088,25;2593967031437,74;-46844608290,52;3540717105,63;13442432889,12;96156384346,04;91698408002,39;43315056730,03;3140322123733,58;0;709454958225,9;103531863916,18;27740140397,21;22103251684,98;144950948838,25;45354513753,91;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-09-01;703439185116,05;949586086505,12;2653210978085,83;-45308331247,95;3539116976,33;13869257075,74;96370111020,67;93172977114,61;49333579257,65;3260508031254,16;3000229166,67;677588638761,14;107991129471,12;26723333536,33;21910021029,79;144950948838,25;45163738931,59;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-10-01;668324512470,08;1041585479542,3;2652819897048,79;-45826475233,49;4769003399,17;14735752203,71;94023677544,83;92811113008,15;43870940913,82;3200712195497,46;54404155555,56;721250074923,04;112065068509,35;33634770956,82;22062432565,32;144950948838,25;45380264040,72;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-11-01;659125465691,56;984791612178,79;2666039351463,92;-47044751742,76;3784154446,34;15358753859,74;94467905643,55;92780625917,03;45310812597,12;3077324015467,3;155411870833,33;684867219018,37;116085563188,09;33692715733,75;22103160902,05;144950948838,25;44671547931,24;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-12-01;637284659198,5;973742176795,49;2710173285907,97;-44161344592,12;3126244117,56;15281109804,96;94697363604,35;95281009561,61;48978471170,32;3158120328851,11;97022229166,66;675204269768,65;113319040723,11;30669908297,29;21989232416,08;152513191948,66;44689186470;0;0;0;204293990482,18;9839732122,55;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-01-01;602907065056,11;986205829928,23;2718737859421,99;-45967443445,09;3668132192,2;15247341322,78;95580016236,27;94586690890,95;51245513337,59;3188252981613,24;28602184722,22;703652900411,3;112844931545,08;26181212646,24;22125332473,4;152513191948,66;44753074122,57;0;0;0;233662151965,92;29273859336,18;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-02-01;640500678394,95;1070952177225,28;2703146524156,04;-48809485896,98;2667273068,48;15625884895,41;97077417296,88;97146708286,63;60093872623,47;3243350864828,82;41003131944,44;757156279848,96;109996040933,5;24607322869,66;22488467711,8;152513191948,66;44667652854,9;0;0;0;233662151965,92;29368399683,28;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-03-01;629704749627,07;1103592264129,02;2718354768928,17;-49822241995,95;3113528273,69;15766370083,28;97805239898,95;97060517848,9;36916859675,02;3254369968571,23;71905492361,11;752305131270,15;85534551154,78;22469553320,09;22241851688,65;152513191948,66;44638208482,96;0;0;0;233662151965,92;29368399683,28;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-04-01;642135109259,76;1116169810362,25;2721229905950,86;-49275552669,77;2620339339,44;15111802788,25;99289822252,11;96475580823,33;43741098437,07;3330115289474,17;23006708333,33;754651381145,51;81281039962,25;27847218437,92;22495861598,58;152513191948,66;45116147471,7;0;0;0;233662151965,92;29368399683,28;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-05-01;649364964651,26;1230565512271,08;2704303262962,28;-51530713371,78;3129438104,55;15769889229,08;101307450525,59;95967409613,1;40134248044,48;3294952663358,71;98613694444,44;820724170137,1;79039102713,27;22768074804,3;22998360459,03;152513191948,66;45779637993,87;0;0;0;233662151965,92;29368399683,28;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-06-01;635911510391,29;1152456340283,29;2773856372543,07;-52460766864,32;4777595518,91;15339641939,03;102242722786,78;95401999640,62;41631175791,95;3309343677555,05;52008305555,56;826883597836,2;82272729153,75;24834371619,21;22746598799,34;152513191948,66;42865728126,33;0;0;0;233662151965,92;29368399683,28;0;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-07-01;646209898964,46;1131616171940,35;2776323024043,19;-52530321932,4;4973120353,77;15322470825,13;99007385037,88;95522986975,94;58744967205,85;3350459169742,31;0;824823641591,26;84605265801,53;39659103676,92;22940440166,27;152513191948,66;41561536932,95;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-08-01;658435834091,98;1105560192161,31;2797321638625,04;-53940723875,9;4951462306,43;16091777461,07;100176534717,79;95147539976,69;48344991241,64;3378344806729,15;12001916666,67;790393930477,66;89995071660,62;22990737038,97;23186130059,34;152513191948,66;41124290220,02;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-09-01;705878521684,32;1075608046267,12;2794853774658,6;-65322672647,57;4930244703,52;16016146748,01;100474725051,75;94496067044,27;54432020310,95;3364928344247,16;62019805555,55;780967076335,2;85264272144,66;25113879397,79;22797471808,85;152513191948,66;40121976665,21;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-10-01;727979880384,65;1095096673822,33;2790134353807,42;-65319358792,11;4882538893,96;15847780472,73;101130465917,42;94012727425,57;58181170588,17;3433652964827,87;49007826388,89;756390238673,89;84113282241,49;33396144927,4;22854240348,02;152513191948,66;39730374339,95;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-11-01;755536542063,33;1131993879166,88;2786982721966,84;-67276099654,01;4782245444,44;15576686125,41;101416208166,11;93330032568,31;48646576212,42;3491712788293,39;29404695833,33;772161459863,92;86500019551,65;27625859179,43;22839381440,16;152513191948,66;39220126277,15;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2017-12-01;724955086213,65;1145833369143,5;2825748115648,68;-51482200154,96;5814208053,15;15946635422,18;102782086376,43;94072352459,15;51376429848,39;3538584625264,04;473353489,61;770307553625,93;88139260411,87;32066390866,98;22725537344;152513191948,66;39232443882,26;0;0;0;233662151965,92;29368399683,28;23017685434,54;22100921217,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-01-01;691074760641,47;1099979254590,98;2819021059298,56;-55647290753,59;5466099441,67;15498896229,6;103571111347,6;93360740002,09;48165249830,82;3504646512357,61;5000798611,11;725918789563,72;83344596216,94;23458681245,69;22850075073,88;152513191948,66;38321467948,28;6752845000,76;0;0;253327207493,76;44141820389,25;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-02-01;689757006631,11;1179000660965,81;2795531377091,84;-53597365452,73;5635748332,04;16268753922,17;104380728245,41;93203921118,96;54009833254,84;3554968143983,76;0;735517550133,38;82904305706,68;25963057152,04;22992476148,49;162502557906,89;38202591787,28;6441924520,76;0;0;253327207493,76;34427953825,03;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-03-01;681955491901,32;1131983347531,09;2796341241658,98;-53842001995,55;15090204989,26;16617501334,55;102531421330,76;93695939951,06;30306125806,65;3492414547824,33;0;712191840621,23;78794123823,23;47635113888,06;22571688337,52;162502557906,89;35819530859,8;6441924520,76;0;0;253327207493,76;34427953825,03;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-04-01;690956167313,99;1101737238153,25;2762997452219,28;-55240749602,2;16107069030,41;16591490788,92;101683987864,12;93561502728,58;40153902631,72;3445201876263,79;0;727484945052,01;76565754615,43;33993777880,36;22690722044,67;162502557906,89;36045912715,45;6441924520,76;0;0;253327207493,76;34427953825,03;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-05-01;661884798784,77;1117978543399,93;2734743713808,36;-55987094325,21;14686439474,17;23024142318,96;101344716467,18;94405404947,04;36182721426,14;3425670459673,39;0;710419538102,68;80191176128,5;24289552851,02;22887955141,66;162502557906,89;36817702895,5;6441924520,76;0;0;253327207493,76;34427953825,03;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-06-01;674884368024,53;1090712969974,09;2738112120684,27;-53131158503,12;11922431341,46;23302989270,37;99794960136,03;94082688234,28;38362274471,85;3425506666668,13;0;691465043449,06;82908486239,56;25970064296,41;22611387099,47;162502557906,89;37325080160,21;6441924520,76;0;0;253327207493,76;34427953825,03;0;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-07-01;721013932733,11;1099066846352,58;2754499516728,35;-52672723155,03;11505164144,72;22746018077,51;100807334489,91;93691536281,21;36293173878,43;3430060351062,19;14002333333,33;736958721973,9;85492070364,32;26452951332,61;22753945762,74;162502557906,89;37099494465,58;6441924520,76;0;0;253327207493,76;34427953825,03;16555381070,35;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-08-01;683912071321,91;927364580865,9;2742968264019,87;-57333249431,43;11076392784,5;22667315441,67;102437931062,66;94088216243,86;33042940567,41;3458068887188,45;27504582569,66;467657572309,81;89029114569,8;26432078489,25;23145206489,98;162502557906,89;37615500592,34;6441924520,76;0;0;253327207493,76;34427953825,03;16555381070,35;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-09-01;698124609360,86;955869662367,39;2785996914385,94;-58628769273,24;9121522369,82;23461008096,39;105506548524,52;93565062895,42;34795364150,19;3525008498660,45;12506250000;500563050436,4;88716638045,42;27161240493,41;23231152575,54;162502557906,89;37324107040,8;6441924520,76;0;0;253327207493,76;34427953825,03;16555381070,35;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-10-01;712524427026,88;934966106767,26;2813180539715,69;-66932776883,18;7674103290,41;41003933076,86;109458110157,9;104456985149,67;38680561738,06;3510643793022,53;21113518333,33;502232156247,39;148037356483,82;24846874331,51;24350144234;162502557906,89;38298000910,21;6441924520,76;0;0;253327207493,76;34427953825,03;16555381070,35;25016898448,77
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-11-01;845494360056,85;935293725506,76;2887985732076,72;-68821530558,35;8163635332,63;41831773022,92;109316379282,43;106428518871,57;75185943426,43;3489334089643,97;162518205173,28;518040227135,53;232236485178,63;30044227388,62;24211913144,06;162502557906,89;36359944566,36;6441924520,76;18907432693,97;0;253327207493,76;34427953825,03;16555381070,35;27644163793,72
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2018-12-01;742278663254,3;857513058297,39;2900766822853,86;-95595104413,39;4930228116,26;42319605316,87;111419631317,93;107280590011,06;98337159385,29;3597889018734,58;120169801381,99;458526603988,02;79172703512,25;53233735955,61;6065401675,89;162502557906,89;37470719004,31;6441924520,76;18907432693,97;0;253327207493,76;34427953825,03;16555381070,35;27644163793,72
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-01-01;691713719320,25;876064552706,48;2922073255058,28;-98048268913,33;4082291966,27;41510782035,18;112774647470,48;107253125933,51;84172164883,47;3542091002259,79;98097027777,85;547716401696,2;76196261173,78;28711482809,12;6144815960,87;162502557906,89;38855118065,43;6441924520,76;18907432693,97;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-02-01;719621302580,95;886400638763,89;2893773399160,1;-100690985556,15;4296054733,17;39718882531,4;113343937036,31;106567231718,68;83745000534,47;3570325196018,89;47833117673,61;562755381742,47;75846575133,58;38907102137,68;6156690776,57;162502557906,89;38653296314,7;6441924520,76;18907432693,97;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-03-01;695477494157,04;841607437579,17;2868186679627,61;-101728728929,37;9202864349,85;38500530170,19;113323855559,82;106739356510,81;46381912497,03;3600370198130,75;0;464929107850,9;70701216691,74;29757262783,78;5983932869,16;181409990600,86;38050529197,66;6441924520,76;0;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-04-01;728024336209,58;827288824423,98;2856860143522,12;-103618714074,94;7437325696,51;36113389962,14;111512633584,37;106074454201,67;48591456982,8;3561854226086,06;24003999666,72;472592258133,54;74474353926,71;30833611710,62;5994527437,54;181409990600,86;41416689352,8;6441924520,76;0;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-05-01;752042238612,21;860796330311,46;2841180120271,48;-100949714324,75;7276624982,96;38721823821,31;115354395818,09;105817681894,22;50359978997,63;3572509770696,69;65409691498,48;453152766276,26;84841695758,23;28996889018,33;5946913179,53;181409990600,86;42612182108,77;6441924520,76;0;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-06-01;648879228776,92;938099605469,66;2824629982571,6;-96092772932,08;5216791713,53;40837060382,28;116402692891,07;105406795507,72;56443887998;3599789980517,27;0;441814337604,5;89191756471,34;32487541011,99;5785501695,91;181409990600,86;43328537662,14;6441924520,76;0;0;264398962425,67;29058700122,67;0;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-07-01;649403114655,59;1007927308178,15;2787324086004,8;-94716798520,49;3620686704,15;39160079561,77;117046617438,45;105948356718,09;47513763071,49;3638500226997,27;0;420709670432,1;89973813191,64;30540956553,47;5728946637,77;181409990600,86;46358013819,29;6441924520,76;0;0;264398962425,67;29058700122,67;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-08-01;671735226281,4;935582367567,88;2784328849765,52;-88059279259,82;4141402315,21;42099752465,33;118269563767,51;106329837734,37;56566922432,15;3585575434885,23;0;411022049188,18;104354581187,19;33185001694,03;5774391293,41;181409990600,86;48835731833,97;6441924520,76;0;0;264398962425,67;29058700122,67;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-09-01;705195217652,91;992172840323,04;2769267144711,39;-91376993784,03;2969646912,16;40673408417,72;121020287298,92;106536088066,95;58399340803,23;3623547742421,38;3000395833,33;410385006567,27;137600751234,57;64125678420,27;5796984496,17;181409990600,86;48785316971,95;6441924520,76;0;0;264398962425,67;974784270,89;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-10-01;681171290969,58;960879975176,26;2813410780199,64;-90949522985,16;6902947738,73;40473533405,85;122745847698,68;107733931898,22;59108367176,76;3632000902323,9;0;419284834726,49;140668627806,85;40162810303,2;5855632855,12;181409990600,86;50211307203,55;6441924520,76;0;0;264398962425,67;974784270,89;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-11-01;730930828385,54;898800582725,9;2786809708099,17;-91579059951,31;3281108121,19;37561080048,48;121630329926,85;110414647569,4;64932383508,42;3593192927202,69;12796283296,93;407526288130,34;142850725668,26;39047865416,19;5680618845,01;181409990600,86;50304492174,37;6441924520,76;0;0;264398962425,67;974784270,89;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2019-12-01;640271292747,7;1067691046478,86;2823690984276,83;-86096482963,82;3538215112,84;38107221829,48;122229311885,77;112498939512,85;82364903869,13;3710590066485,62;0;410809972826,21;160300501136,14;50280634355,39;0;181409990600,86;51240522352,17;6441924520,76;0;0;264398962425,67;974784270,89;25338729464,37;29753932254,82
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-01-01;703749410205,67;1102624886675,7;2788941024612,6;-92010706709,04;2596197495,42;35985641548,8;124164051773,07;148171210680,98;70025953560,5;3808102217085,72;0;437965155563,75;149463957674,02;18796216335,77;0;181409990600,86;53153160274,22;6441924520,76;0;0;283823228465,12;15068924307,17;0;33309999705,54
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-02-01;693086037988,24;926872069873,54;2777414973632,25;-89223643895,88;3953463373,98;40250788622,79;124910362485,61;147996526881,12;69286531517,44;3613455503326,99;0;431702805239,63;151016601654,55;20525635266,19;0;181409990600,86;57346505407,59;6441924520,76;0;0;283820516010,75;13464953147,67;0;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-03-01;726784445667,82;910365021893,61;2800459365808,86;-90426147327,26;10654228138,96;41512693061,04;127712051924,12;138478339143,4;67786909836,6;3653081377584,93;0;454088631696,49;127797282708,85;22119459719,75;0;181409990600,86;54110793436,15;6441924520,76;0;0;283820516010,75;13464953147,67;0;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-04-01;720642706689,39;1056342903765,46;2800569639789,28;-87122728073,6;10502647495,11;38784322533,37;124395383873,5;138797884490,64;79618250212,13;3809076402425,93;0;443715607699,51;131500487943,94;23875020221,83;0;181409990600,86;48488406745,13;6441924520,76;0;0;283820516010,75;13464953147,67;0;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-05-01;767180077069,96;967627288473,86;2803189276568,36;-90901000803,15;10666376884,81;39712458292,95;125610337995,03;137918713956,24;69299573894,61;3753761533447,14;0;456177747808,47;126786277662,56;21894427353,79;0;181409990600,86;49475038115,43;6441924520,76;0;0;283820516010,75;13464953147,67;0;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-06-01;656032207151,82;1101170130260,27;2786820396770,51;-94815749757,06;12379686404,95;44501742047,49;122173287635,67;137558768654,44;69340268695,03;3754319748493,14;0;446585751830,05;134150176318,46;23766512559,16;0;181409990600,86;54254178605,44;6441924520,76;0;0;283820516010,75;13464953147,67;0;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-07-01;679141449395,25;1170841607578,69;2808698322941,01;-95239366959,98;11493058937,55;43977463903,27;122714574069,3;136915959884,72;70747405760,28;3843497080099,16;0;462621758265,73;137286905557,45;24184356760,95;0;181409990600,86;57273087159,16;6441924520,76;0;0;283820516010,75;13464953147,67;11336856115,31;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-08-01;712643444602,69;1316728269159,02;2825079414353,82;-95214479355,31;8995814200,46;43560884837,28;124837116546,18;138269176289,96;77912741268,58;4018941017941,94;1377116056,68;465566635574,34;143329004348,09;36733734801,93;0;181409990600,86;58477634257,45;6441924520,76;0;0;283820516010,75;13464953147,67;11336856115,31;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-09-01;701863097004,62;1252131331102,96;2827556101964,03;-95460346335,82;10793960767,04;45346964989,56;118137052695,43;130544257109;74786407079,84;3939759814060,39;0;451515080824,49;154742707356,87;26956720101,25;0;181409990600,86;59213823321,49;6441924520,76;0;0;283820516010,75;13464953147,67;11336856115,31;33309728460,1
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2020-10-01;811022581349,26;1178299249940,7;2821289878374,08;-99514464185,28;10663182379,26;45739341584,49;118802451477,38;130747215333,09;71852590154,32;3980736148469,04;0;447081371251,71;145227575370,65;31893167772,91;0;181409990600,86;54390135561,47;6441924520,76;0;0;283820516010,75;13464953147,67;11336856115,31;33309728460,1
